Date,Rush Count Open Jobs (1-2-3),Total Rush Count (1-2-3),Priority Count Open Jobs (4-5-6),Total Priority Count (4-5-6)

2025-07-15,11,55,12,146
2025-07-15,0,55,3,146
2025-07-15,11,55,9,146
2025-07-15,11,55,9,146
2025-07-15,11,55,15,171
2025-07-15,11,55,15,171
2025-07-15,11,55,15,171
2025-07-15,11,55,15,171
2025-07-15,11,55,33,171
2025-07-15,13,38,48,158
2025-07-15,13,38,38,158
2025-07-16,13,38,48,158
2025-07-16,13,38,48,158
2025-07-16,13,38,48,158
2025-07-16,13,38,48,158
2025-07-16,11,35,31,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,11,35,48,153
2025-07-17,14,51,24,136
2025-07-18,15,46,20,129
2025-07-21,15,46,33,129
2025-07-21,15,46,33,129
2025-07-21,15,61,20,146
2025-07-21,15,61,20,146
2025-07-21,15,61,20,146
2025-07-21,15,61,20,146
2025-07-21,15,61,20,146
2025-07-22,13,53,25,154
2025-07-22,13,53,25,154
2025-07-22,13,53,25,154
2025-07-22,13,53,25,154
2025-07-22,13,53,25,154
2025-07-22,13,53,25,154
2025-07-22,13,53,25,154
2025-07-22,13,53,25,154
2025-07-23,13,53,37,154
2025-07-23,15,61,21,146
2025-07-23,15,61,21,146
2025-07-23,14,43,30,152
2025-07-24,14,43,47,152
2025-07-24,14,43,47,152
2025-07-24,14,43,47,152
2025-07-24,14,43,47,152
2025-07-24,14,43,47,152
2025-07-24,14,43,47,152
2025-07-24,14,43,47,152
2025-07-24,8,39,33,159
2025-07-24,7,39,33,159
2025-07-24,7,39,33,159
2025-07-25,7,39,65,159
2025-07-25,7,39,65,159
2025-07-25,7,39,65,159
2025-07-25,7,39,65,159
2025-07-25,7,39,65,159
2025-07-25,8,38,49,160
2025-07-25,8,38,49,160
2025-07-28,8,38,59,160
2025-07-28,8,38,59,160
2025-07-28,8,38,59,160
2025-07-28,8,38,59,160
2025-07-28,10,53,31,164
2025-07-28,10,53,31,164
2025-07-28,10,53,31,164
2025-07-28,10,53,31,164
2025-07-28,10,53,31,164
2025-07-28,10,53,31,164
2025-07-28,10,53,31,164
2025-07-29,20,50,36,171
2025-07-30,20,50,46,171
2025-07-30,13,40,37,161
2025-07-30,13,40,37,161
2025-07-30,13,40,37,161
2025-07-31,13,40,58,161
2025-07-31,9,34,50,172
2025-08-01,6,50,52,160
2025-08-04,6,50,65,160
2025-08-04,6,50,65,160
2025-08-04,16,59,52,169
2025-08-04,16,59,52,169
2025-08-05,10,41,43,181
2025-08-06,10,41,56,181
2025-08-06,10,41,56,181
