Date,ReportType,LateCount,TotalCount
2025-07-13,METALS,804,943
2025-07-13,ORGPREP,232,312
2025-07-13,EXTLCMS,72,222
2025-07-13,GCAIR,12,49
2025-07-13,GCSEMI,318,415
2025-07-13,GCVOA,58,73
2025-07-13,GENCHEM,632,1478
2025-07-13,HG,96,142
2025-07-13,LCMSPFAS,294,498
2025-07-13,MSAIR,141,162
2025-07-13,MSSEMI,469,520
2025-07-13,MSVOA,829,949
2025-07-15,METALS,239,1135
2025-07-15,ORGPREP,27,422
2025-07-15,EXTLCMS,10,238
2025-07-15,GCAIR,0,53
2025-07-15,GCSEMI,53,529
2025-07-15,GCVOA,0,87
2025-07-15,GENCHEM,84,1388
2025-07-15,HG,2,169
2025-07-15,LCMSPFAS,102,407
2025-07-15,MSAIR,23,180
2025-07-15,MSSEMI,102,554
2025-07-15,MSVOA,117,1068
2025-07-14,METALS,141,1135
2025-07-14,ORGPREP,12,422
2025-07-14,EXTLCMS,9,238
2025-07-14,GCAIR,0,53
2025-07-14,GCSEMI,21,529
2025-07-14,GCVOA,0,87
2025-07-14,GENCHEM,12,1388
2025-07-14,HG,0,169
2025-07-14,LCMSPFAS,86,407
2025-07-14,MSAIR,6,180
2025-07-14,MSSEMI,45,554
2025-07-14,MSVOA,46,1068
2025-07-14,METALS,141,1135
2025-07-14,ORGPREP,12,422
2025-07-14,EXTLCMS,9,238
2025-07-14,GCAIR,0,53
2025-07-14,GCSEMI,21,529
2025-07-14,GCVOA,0,87
2025-07-14,GENCHEM,12,1388
2025-07-14,HG,0,169
2025-07-14,LCMSPFAS,86,407
2025-07-14,MSAIR,6,180
2025-07-14,MSSEMI,45,554
2025-07-14,MSVOA,46,1068
2025-07-15,METALS,239,1135
2025-07-15,ORGPREP,22,422
2025-07-15,EXTLCMS,10,238
2025-07-15,GCAIR,0,53
2025-07-15,GCSEMI,53,529
2025-07-15,GCVOA,0,87
2025-07-15,GENCHEM,84,1388
2025-07-15,HG,2,169
2025-07-15,LCMSPFAS,102,407
2025-07-15,MSAIR,23,180
2025-07-15,MSSEMI,102,554
2025-07-15,MSVOA,117,1068
2025-07-15,METALS,239,1135
2025-07-15,ORGPREP,22,422
2025-07-15,EXTLCMS,10,238
2025-07-15,GCAIR,0,53
2025-07-15,GCSEMI,53,529
2025-07-15,GCVOA,0,87
2025-07-15,GENCHEM,84,1388
2025-07-15,HG,2,169
2025-07-15,LCMSPFAS,102,407
2025-07-15,MSAIR,23,180
2025-07-15,MSSEMI,102,554
2025-07-15,MSVOA,117,1068
2025-07-15,METALS,239,1135
2025-07-15,ORGPREP,22,422
2025-07-15,EXTLCMS,10,238
2025-07-15,GCAIR,0,53
2025-07-15,GCSEMI,53,529
2025-07-15,GCVOA,0,87
2025-07-15,GENCHEM,84,1388
2025-07-15,HG,2,169
2025-07-15,LCMSPFAS,102,407
2025-07-15,MSAIR,23,180
2025-07-15,MSSEMI,102,554
2025-07-15,MSVOA,117,1068
2025-07-15,METALS,239,1135
2025-07-15,ORGPREP,22,422
2025-07-15,EXTLCMS,10,238
2025-07-15,GCAIR,0,53
2025-07-15,GCSEMI,53,529
2025-07-15,GCVOA,0,87
2025-07-15,GENCHEM,84,1388
2025-07-15,HG,2,169
2025-07-15,LCMSPFAS,102,407
2025-07-15,MSAIR,23,180
2025-07-15,MSSEMI,102,554
2025-07-15,MSVOA,117,1068
2025-07-15,METALS,239,1135
2025-07-15,ORGPREP,22,422
2025-07-15,EXTLCMS,10,238
2025-07-15,GCAIR,0,53
2025-07-15,GCSEMI,53,529
2025-07-15,GCVOA,0,87
2025-07-15,GENCHEM,84,1388
2025-07-15,HG,2,169
2025-07-15,LCMSPFAS,102,407
2025-07-15,MSAIR,23,180
2025-07-15,MSSEMI,102,554
2025-07-15,MSVOA,117,1068
2025-07-15,METALS,239,1135
2025-07-15,ORGPREP,22,422
2025-07-15,EXTLCMS,10,238
2025-07-15,GCAIR,0,53
2025-07-15,GCSEMI,53,529
2025-07-15,GCVOA,0,87
2025-07-15,GENCHEM,84,1388
2025-07-15,HG,2,169
2025-07-15,LCMSPFAS,102,407
2025-07-15,MSAIR,23,180
2025-07-15,MSSEMI,102,554
2025-07-15,MSVOA,117,1068
2025-07-15,METALS,158,947
2025-07-15,ORGPREP,21,291
2025-07-15,EXTLCMS,14,240
2025-07-15,GCAIR,0,53
2025-07-15,GCSEMI,79,493
2025-07-15,GCVOA,0,84
2025-07-15,GENCHEM,46,1263
2025-07-15,HG,0,127
2025-07-15,LCMSPFAS,99,440
2025-07-15,MSAIR,15,145
2025-07-15,MSSEMI,54,424
2025-07-15,MSVOA,36,832
2025-07-15,METALS,158,947
2025-07-15,ORGPREP,38,291
2025-07-15,EXTLCMS,14,240
2025-07-15,GCAIR,0,53
2025-07-15,GCSEMI,79,493
2025-07-15,GCVOA,0,84
2025-07-15,GENCHEM,46,1263
2025-07-15,HG,0,127
2025-07-15,LCMSPFAS,99,440
2025-07-15,MSAIR,15,145
2025-07-15,MSSEMI,54,424
2025-07-15,MSVOA,36,832
2025-07-16,METALS,355,947
2025-07-16,ORGPREP,68,291
2025-07-16,EXTLCMS,15,240
2025-07-16,GCAIR,8,53
2025-07-16,GCSEMI,146,493
2025-07-16,GCVOA,1,84
2025-07-16,GENCHEM,180,1263
2025-07-16,HG,0,127
2025-07-16,LCMSPFAS,116,440
2025-07-16,MSAIR,28,145
2025-07-16,MSSEMI,136,424
2025-07-16,MSVOA,118,832
2025-07-16,METALS,355,947
2025-07-16,ORGPREP,68,291
2025-07-16,EXTLCMS,15,240
2025-07-16,GCAIR,8,53
2025-07-16,GCSEMI,146,493
2025-07-16,GCVOA,1,84
2025-07-16,GENCHEM,180,1263
2025-07-16,HG,0,127
2025-07-16,LCMSPFAS,116,440
2025-07-16,MSAIR,28,145
2025-07-16,MSSEMI,136,424
2025-07-16,METALS,355,947
2025-07-16,ORGPREP,68,291
2025-07-16,EXTLCMS,15,240
2025-07-16,GCAIR,8,53
2025-07-16,GCSEMI,146,493
2025-07-16,GCVOA,1,84
2025-07-16,GENCHEM,180,1263
2025-07-16,HG,0,127
2025-07-16,LCMSPFAS,116,440
2025-07-16,MSAIR,28,145
2025-07-16,MSSEMI,136,424
2025-07-16,MSVOA,118,832
2025-07-16,METALS,355,947
2025-07-16,ORGPREP,68,291
2025-07-16,EXTLCMS,15,240
2025-07-16,GCAIR,8,53
2025-07-16,GCSEMI,146,493
2025-07-16,GCVOA,1,84
2025-07-16,GENCHEM,180,1263
2025-07-16,HG,0,127
2025-07-16,LCMSPFAS,116,440
2025-07-16,MSAIR,28,145
2025-07-16,MSSEMI,136,424
2025-07-16,MSVOA,118,832
2025-07-16,METALS,355,947
2025-07-16,ORGPREP,68,291
2025-07-16,EXTLCMS,15,240
2025-07-16,GCAIR,8,53
2025-07-16,GCSEMI,146,493
2025-07-16,GCVOA,1,84
2025-07-16,GENCHEM,180,1263
2025-07-16,HG,0,127
2025-07-16,LCMSPFAS,116,440
2025-07-16,MSAIR,28,145
2025-07-16,MSSEMI,136,424
2025-07-16,MSVOA,118,832
2025-07-16,METALS,278,1216
2025-07-16,ORGPREP,26,324
2025-07-16,EXTLCMS,8,145
2025-07-16,GCAIR,0,39
2025-07-16,GCSEMI,110,585
2025-07-16,GCVOA,1,74
2025-07-16,GENCHEM,46,1269
2025-07-16,HG,0,115
2025-07-16,LCMSPFAS,85,359
2025-07-16,MSAIR,1,138
2025-07-16,MSSEMI,72,450
2025-07-16,MSVOA,11,759
2025-07-17,METALS,446,1216
2025-07-17,ORGPREP,52,324
2025-07-17,EXTLCMS,9,145
2025-07-17,GCAIR,3,39
2025-07-17,GCSEMI,188,585
2025-07-17,GCVOA,10,74
2025-07-17,GENCHEM,118,1269
2025-07-17,HG,6,115
2025-07-17,LCMSPFAS,129,359
2025-07-17,MSAIR,36,138
2025-07-17,MSSEMI,118,450
2025-07-17,MSVOA,85,759
2025-07-17,METALS,446,1216
2025-07-17,METALS,446,1216
2025-07-17,METALS,446,1216
2025-07-17,ORGPREP,52,324
2025-07-17,EXTLCMS,9,145
2025-07-17,GCAIR,3,39
2025-07-17,GCSEMI,188,585
2025-07-17,GCVOA,10,74
2025-07-17,GENCHEM,118,1269
2025-07-17,HG,6,115
2025-07-17,LCMSPFAS,129,359
2025-07-17,MSAIR,36,138
2025-07-17,MSSEMI,118,450
2025-07-17,MSVOA,85,759
2025-07-17,METALS,446,1216
2025-07-17,ORGPREP,52,324
2025-07-17,EXTLCMS,9,145
2025-07-17,GCAIR,3,39
2025-07-17,GCSEMI,188,585
2025-07-17,GCVOA,10,74
2025-07-17,GENCHEM,118,1269
2025-07-17,HG,6,115
2025-07-17,LCMSPFAS,129,359
2025-07-17,MSAIR,36,138
2025-07-17,MSSEMI,118,450
2025-07-17,MSVOA,85,759
2025-07-17,METALS,446,1216
2025-07-17,ORGPREP,52,324
2025-07-17,EXTLCMS,9,145
2025-07-17,GCAIR,3,39
2025-07-17,GCSEMI,188,585
2025-07-17,GCVOA,10,74
2025-07-17,GENCHEM,118,1269
2025-07-17,HG,6,115
2025-07-17,LCMSPFAS,129,359
2025-07-17,MSAIR,36,138
2025-07-17,MSSEMI,118,450
2025-07-17,MSVOA,85,759
2025-07-17,METALS,446,1216
2025-07-17,ORGPREP,52,324
2025-07-17,EXTLCMS,9,145
2025-07-17,GCAIR,3,39
2025-07-17,GCSEMI,188,585
2025-07-17,GCVOA,10,74
2025-07-17,GENCHEM,118,1269
2025-07-17,HG,6,115
2025-07-17,LCMSPFAS,129,359
2025-07-17,MSAIR,36,138
2025-07-17,MSSEMI,118,450
2025-07-17,MSVOA,85,759
2025-07-17,METALS,446,1216
2025-07-17,ORGPREP,52,324
2025-07-17,EXTLCMS,9,145
2025-07-17,GCAIR,3,39
2025-07-17,GCSEMI,188,585
2025-07-17,GCVOA,10,74
2025-07-17,GENCHEM,118,1269
2025-07-17,HG,6,115
2025-07-17,LCMSPFAS,129,359
2025-07-17,MSAIR,36,138
2025-07-17,MSSEMI,118,450
2025-07-17,MSVOA,85,759
2025-07-17,METALS,446,1216
2025-07-17,ORGPREP,52,324
2025-07-17,EXTLCMS,9,145
2025-07-17,GCAIR,3,39
2025-07-17,GCSEMI,188,585
2025-07-17,GCVOA,10,74
2025-07-17,GENCHEM,118,1269
2025-07-17,HG,6,115
2025-07-17,LCMSPFAS,129,359
2025-07-17,MSAIR,36,138
2025-07-17,MSSEMI,118,450
2025-07-17,MSVOA,85,759
2025-07-17,METALS,446,1216
2025-07-17,ORGPREP,52,324
2025-07-17,EXTLCMS,9,145
2025-07-17,GCAIR,3,39
2025-07-17,GCSEMI,188,585
2025-07-17,GCVOA,10,74
2025-07-17,GENCHEM,118,1269
2025-07-17,HG,6,115
2025-07-17,LCMSPFAS,129,359
2025-07-17,MSAIR,36,138
2025-07-17,MSSEMI,118,450
2025-07-17,MSVOA,85,759
2025-07-17,METALS,446,1216
2025-07-17,ORGPREP,52,324
2025-07-17,EXTLCMS,9,145
2025-07-17,GCAIR,3,39
2025-07-17,GCSEMI,188,585
2025-07-17,GCVOA,10,74
2025-07-17,GENCHEM,118,1269
2025-07-17,HG,6,115
2025-07-17,LCMSPFAS,129,359
2025-07-17,MSAIR,36,138
2025-07-17,MSSEMI,118,450
2025-07-17,MSVOA,85,759
2025-07-17,METALS,446,1216
2025-07-17,ORGPREP,52,324
2025-07-17,EXTLCMS,9,145
2025-07-17,GCAIR,3,39
2025-07-17,GCSEMI,188,585
2025-07-17,GCVOA,10,74
2025-07-17,GENCHEM,118,1269
2025-07-17,HG,6,115
2025-07-17,LCMSPFAS,129,359
2025-07-17,MSAIR,36,138
2025-07-17,MSSEMI,118,450
2025-07-17,MSVOA,85,759
2025-07-17,METALS,446,1216
2025-07-17,ORGPREP,52,324
2025-07-17,EXTLCMS,9,145
