Date,Rush Count Open Jobs (1-2-3),Total Rush Count (1-2-3),Priority Count Open Jobs (4-5-6),Total Priority Count (4-5-6)

2025-07-01,0,0,0,0
2025-07-01,0,0,0,0
2025-07-01,0,0,0,0
2025-07-01,0,0,0,0
2025-07-01,0,0,0,0
2025-07-01,0,0,0,0
2025-07-02,0,0,0,0
2025-07-02,0,0,0,0
2025-07-02,0,0,0,0
2025-07-02,0,0,0,0
2025-07-02,0,0,0,0
2025-07-02,0,0,0,0
2025-07-02,0,0,0,0
2025-07-02,0,0,0,0
2025-07-02,0,0,0,0
2025-07-02,0,4,4,9
2025-07-02,0,4,4,9
2025-07-02,0,4,4,9
2025-07-02,0,4,4,9
2025-07-02,1,7,1,6
2025-07-03,1,7,1,6
2025-07-03,1,7,1,6
2025-07-03,1,7,1,4
2025-07-03,1,7,1,6
2025-07-03,1,7,1,6
2025-07-03,3,7,1,7
2025-07-04,3,7,1,7
2025-07-04,3,7,1,7
2025-07-04,2,8,1,10
2025-07-04,2,8,1,10
2025-07-07,2,7,1,12
2025-07-08,3,5,0,8
2025-07-09,3,5,2,11
2025-07-10,3,5,2,12
2025-07-11,0,5,1,10
2025-07-18,0,5,1,10
2025-07-18,0,5,1,10
2025-07-18,0,5,1,10
2025-07-18,0,5,1,10
2025-07-18,0,5,1,10
2025-07-18,0,5,1,10
2025-07-18,0,5,1,10
2025-07-18,0,5,1,10
2025-07-18,0,5,1,10
2025-07-18,0,5,1,10
2025-07-18,0,5,1,10
2025-07-30,0,5,1,10
2025-07-30,0,5,1,10
2025-07-30,0,5,1,10
2025-08-05,2,4,3,12
2025-08-05,2,4,3,12
2025-08-05,2,4,3,12
2025-08-06,2,4,3,12
2025-08-06,2,4,3,12
2025-08-06,2,4,3,12
2025-08-06,2,4,3,12
