Date,ReportType,LateCount,TotalCount

2025-07-01,METALS,19,253
2025-07-01,ORGPREP,9,250
2025-07-01,MSSEMI,29,244
2025-07-01,GCSEMI,38,285
2025-07-01,GCVOA,4,153
2025-07-01,GENCHEM,15,234
2025-07-01,HG,5,60
2025-07-01,METALS,19,253
2025-07-01,ORGPREP,9,250
2025-07-01,MSSEMI,29,244
2025-07-01,GCSEMI,38,285
2025-07-01,GCVOA,4,153
2025-07-01,GENCHEM,15,234
2025-07-01,HG,5,60
2025-07-01,METALS,19,253
2025-07-01,ORGPREP,9,250
2025-07-01,MSSEMI,29,244
2025-07-01,GCSEMI,38,285
2025-07-01,GCVOA,4,153
2025-07-01,GENCHEM,15,234
2025-07-01,HG,5,60
2025-07-01,EXTLCMS,97,481
2025-07-01,METALS,19,253
2025-07-01,ORGPREP,9,250
2025-07-01,MSSEMI,29,244
2025-07-01,GCSEMI,38,285
2025-07-01,GCVOA,4,153
2025-07-01,GENCHEM,15,234
2025-07-01,HG,5,60
2025-07-01,EXTLCMS,97,481
2025-07-01,LCMSPFAS,14,786
2025-07-01,MSVOA,0,397
2025-07-01,METALS,19,253
2025-07-01,ORGPREP,9,250
2025-07-01,MSSEMI,29,244
2025-07-01,GCSEMI,38,285
2025-07-01,GCVOA,4,153
2025-07-01,GENCHEM,15,234
2025-07-01,HG,5,60
2025-07-01,EXTLCMS,97,481
2025-07-01,LCMSPFAS,14,786
2025-07-01,MSVOA,0,397
2025-07-01,METALS,19,253
2025-07-01,ORGPREP,9,250
2025-07-01,MSSEMI,29,244
2025-07-01,GCSEMI,38,285
2025-07-01,GCVOA,4,153
2025-07-01,GENCHEM,15,234
2025-07-01,HG,5,60
2025-07-01,EXTLCMS,97,481
2025-07-01,LCMSPFAS,14,786
2025-07-01,MSVOA,0,397
2025-07-01,METALS,19,253
2025-07-01,ORGPREP,9,250
2025-07-01,MSSEMI,29,244
2025-07-01,GCSEMI,38,285
2025-07-01,GCVOA,4,153
2025-07-01,GENCHEM,15,234
2025-07-01,HG,5,60
2025-07-01,EXTLCMS,97,481
2025-07-01,LCMSPFAS,14,786
2025-07-01,MSVOA,0,397
2025-07-01,METALS,19,253
2025-07-01,ORGPREP,9,250
2025-07-01,MSSEMI,29,244
2025-07-01,GCSEMI,38,285
2025-07-01,GCVOA,4,153
2025-07-01,GENCHEM,15,234
2025-07-01,HG,5,60
2025-07-01,EXTLCMS,97,481
2025-07-01,LCMSPFAS,14,786
2025-07-01,MSVOA,0,397
2025-07-01,METALS,19,253
2025-07-01,ORGPREP,9,250
2025-07-01,MSSEMI,29,244
2025-07-01,GCSEMI,38,285
2025-07-01,GCVOA,4,153
2025-07-01,GENCHEM,15,234
2025-07-01,HG,5,60
2025-07-01,EXTLCMS,97,481
2025-07-01,LCMSPFAS,14,786
2025-07-01,MSVOA,0,397
2025-07-01,METALS,19,253
2025-07-01,ORGPREP,9,250
2025-07-01,MSSEMI,29,244
2025-07-01,GCSEMI,38,285
2025-07-01,GCVOA,4,153
2025-07-01,GENCHEM,15,234
2025-07-01,HG,5,60
2025-07-01,EXTLCMS,97,481
2025-07-01,LCMSPFAS,14,786
2025-07-01,MSVOA,0,397
2025-07-01,METALS,19,253
2025-07-01,ORGPREP,9,250
2025-07-01,MSSEMI,29,244
2025-07-01,GCSEMI,38,285
2025-07-01,GCVOA,4,153
2025-07-01,GENCHEM,15,234
2025-07-01,HG,5,60
2025-07-01,EXTLCMS,97,481
2025-07-01,LCMSPFAS,14,786
2025-07-01,MSVOA,0,397
2025-07-01,METALS,19,253
2025-07-01,ORGPREP,9,250
2025-07-01,MSSEMI,29,244
2025-07-01,GCSEMI,38,285
2025-07-01,GCVOA,4,153
2025-07-01,GENCHEM,15,234
2025-07-01,HG,5,60
2025-07-01,EXTLCMS,97,481
2025-07-01,LCMSPFAS,14,786
2025-07-01,MSVOA,0,397
2025-07-01,METALS,19,253
2025-07-01,ORGPREP,9,250
2025-07-01,MSSEMI,29,244
2025-07-01,GCSEMI,38,285
2025-07-01,GCVOA,4,153
2025-07-01,GENCHEM,15,234
2025-07-01,HG,5,60
2025-07-01,EXTLCMS,97,481
2025-07-01,LCMSPFAS,14,786
2025-07-01,MSVOA,0,397
2025-07-01,METALS,19,253
2025-07-01,ORGPREP,9,250
2025-07-01,MSSEMI,29,244
2025-07-01,GCSEMI,38,285
2025-07-01,GCVOA,4,153
2025-07-01,GENCHEM,15,234
2025-07-01,HG,5,60
2025-07-01,EXTLCMS,97,481
2025-07-01,LCMSPFAS,14,786
2025-07-01,MSVOA,0,397
2025-07-01,METALS,19,269
2025-07-01,ORGPREP,15,200
2025-07-01,MSSEMI,22,237
2025-07-01,GCSEMI,18,277
2025-07-01,GCVOA,9,116
2025-07-01,GENCHEM,15,242
2025-07-01,HG,5,84
2025-07-01,EXTLCMS,74,472
2025-07-01,LCMSPFAS,4,690
2025-07-01,MSVOA,0,259
2025-07-02,METALS,19,269
2025-07-02,ORGPREP,22,200
2025-07-02,MSSEMI,23,237
2025-07-02,GCSEMI,18,277
2025-07-02,GCVOA,9,116
2025-07-02,GENCHEM,20,242
2025-07-02,HG,5,84
2025-07-02,EXTLCMS,121,472
2025-07-02,LCMSPFAS,6,690
2025-07-02,MSVOA,0,259
2025-07-02,METALS,19,269
2025-07-02,ORGPREP,22,200
2025-07-02,MSSEMI,23,237
2025-07-02,GCSEMI,18,277
2025-07-02,GCVOA,9,116
2025-07-02,GENCHEM,20,242
2025-07-02,HG,5,84
2025-07-02,EXTLCMS,121,472
2025-07-02,LCMSPFAS,6,690
2025-07-02,MSVOA,0,259
2025-07-02,METALS,19,269
2025-07-02,ORGPREP,22,200
2025-07-02,MSSEMI,23,237
2025-07-02,GCSEMI,18,277
2025-07-02,GCVOA,9,116
2025-07-02,GENCHEM,20,242
2025-07-02,HG,5,84
2025-07-02,EXTLCMS,121,472
2025-07-02,LCMSPFAS,6,690
2025-07-02,MSVOA,0,259
2025-07-02,METALS,19,269
2025-07-02,ORGPREP,22,200
2025-07-02,MSSEMI,23,237
2025-07-02,GCSEMI,18,277
2025-07-02,GCVOA,9,116
2025-07-02,GENCHEM,20,242
2025-07-02,HG,5,84
2025-07-02,EXTLCMS,121,472
2025-07-02,LCMSPFAS,6,690
2025-07-02,MSVOA,0,259
2025-07-02,METALS,19,269
2025-07-02,ORGPREP,22,200
2025-07-02,MSSEMI,23,237
2025-07-02,GCSEMI,18,277
2025-07-02,GCVOA,9,116
2025-07-02,GENCHEM,20,242
2025-07-02,HG,5,84
2025-07-02,EXTLCMS,121,472
2025-07-02,LCMSPFAS,6,690
2025-07-02,MSVOA,0,259
2025-07-02,METALS,19,269
2025-07-02,ORGPREP,22,200
