Date,Rush Count Open Jobs (1-2-3),Total Rush Count (1-2-3),Priority Count Open Jobs (4-5-6),Total Priority Count (4-5-6)

2025-06-20,15,31,15,61
2025-06-20,15,31,15,61
2025-06-25,12,26,13,68
2025-06-25,12,26,13,68
2025-06-26,12,26,13,68
2025-07-04,12,26,13,68
2025-07-04,12,26,13,68
2025-07-04,12,26,13,68
2025-07-04,12,26,13,68
2025-07-04,12,26,13,68
2025-07-18,12,26,13,68
2025-07-29,12,26,13,68
2025-07-29,12,26,13,68
2025-07-30,12,26,13,68
2025-07-30,12,26,13,68
2025-07-30,12,26,13,68
2025-07-30,12,26,13,68
2025-07-30,12,26,13,68
2025-07-30,12,26,13,68
2025-07-30,12,26,13,68
2025-07-30,12,26,13,68
2025-07-30,12,26,13,68
2025-08-05,12,26,13,68
2025-08-05,12,26,13,68
2025-08-06,12,26,13,68
2025-08-06,12,26,13,68
