Date,ReportType,LateCount,TotalCount

2025-06-19,METALS,13,129
2025-06-19,ORGPREP,9,113
2025-06-19,GCSEMI,31,163
2025-06-19,GCVOA,6,91
2025-06-19,GENCHEM,34,464
2025-06-19,HG,2,20
2025-06-19,MSSEMI,55,188
2025-06-19,MSVOA,4,285
2025-06-20,METALS,27,129
2025-06-20,ORGPREP,9,113
2025-06-20,GCSEMI,38,163
2025-06-20,GCVOA,6,91
2025-06-20,GENCHEM,109,464
2025-06-20,HG,2,20
2025-06-20,MSSEMI,56,188
2025-06-20,MSVOA,28,285
2025-06-20,METALS,19,106
2025-06-20,ORGPREP,1,114
2025-06-20,GCSEMI,15,92
2025-06-20,GCVOA,15,52
2025-06-20,GENCHEM,82,469
2025-06-20,HG,0,5
2025-06-20,MSSEMI,10,136
2025-06-20,MSVOA,6,259
