Date,Rush Count Open Jobs (1-2-3),Total Rush Count (1-2-3),Priority Count Open Jobs (4-5-6),Total Priority Count (4-5-6)
2025-06-24,8,10,119,173
2025-06-25,7,11,122,162
2025-06-25,7,11,122,162
2025-06-25,7,11,122,162
2025-06-25,7,11,122,162
2025-06-26,7,11,122,162
2025-06-26,7,11,122,162
2025-06-26,7,11,122,162
2025-06-26,7,11,122,162
2025-06-26,7,11,122,162
2025-06-26,4,7,127,159
2025-06-27,4,7,127,159
2025-06-27,4,7,127,159
2025-06-27,3,7,126,154
2025-07-04,3,7,126,154
2025-07-04,3,7,126,154
2025-07-18,3,7,126,154
2025-07-23,6,12,44,62
2025-07-23,6,12,44,62
2025-07-23,6,12,44,62
2025-07-24,6,12,44,62
2025-07-24,6,12,44,62
2025-07-24,6,12,44,62
2025-07-24,6,12,44,62
2025-07-24,6,12,44,62
2025-07-24,6,12,44,62
2025-07-27,7,11,122,162
2025-07-27,7,11,122,162
2025-07-27,4,7,127,159
2025-07-27,4,7,127,159
2025-07-27,6,12,44,62
2025-07-27,6,12,44,62
2025-07-27,6,12,44,62
2025-07-27,6,12,44,62
2025-07-27,6,12,44,62
2025-07-27,6,12,44,62
2025-07-28,6,12,44,62
2025-07-28,6,12,44,62
2025-07-28,6,12,44,62
2025-07-28,6,12,44,62
2025-07-28,6,12,44,62
2025-07-28,6,12,44,62
2025-07-28,6,12,44,62
2025-07-28,6,12,44,62
2025-07-28,6,12,44,62
2025-07-28,6,12,44,62
2025-07-28,6,12,44,62
2025-07-28,6,12,44,62
2025-07-28,9,13,30,45
2025-07-28,9,13,30,45
2025-07-29,4,11,28,42
2025-07-30,4,11,28,42
2025-07-30,4,11,28,42
2025-07-30,4,11,28,42
2025-07-30,4,11,28,42
2025-07-30,4,11,28,42
2025-07-30,4,11,28,42
2025-07-30,4,11,28,42
2025-07-30,4,11,28,42
2025-07-30,5,12,28,36
2025-07-30,5,12,28,36
2025-07-30,5,12,28,36
2025-07-31,6,14,25,39
2025-08-01,4,12,22,41
2025-08-01,4,12,22,41
2025-08-04,4,12,22,41
2025-08-04,4,12,22,41
2025-08-04,4,11,20,41
2025-08-05,8,12,23,41
2025-08-05,8,12,23,41
2025-08-05,8,12,23,41
2025-08-06,8,12,23,41
2025-08-06,8,12,23,41
2025-08-06,8,12,23,41
2025-08-06,8,12,23,41
