Date,ReportType,LateCount,TotalCount

2025-06-20,METALS,1300,2830
2025-06-20,GCSEMI,29,295
2025-06-20,GCVOA,70,104
2025-06-20,GENCHEM,406,1035
2025-06-20,HG,27,49
2025-06-20,MSSEMI,52,331
2025-06-20,MSVOA,190,554
2025-06-20,ORGPREP,0,233
2025-06-20,METALS,1300,2830
2025-06-20,GCSEMI,29,295
2025-06-20,GCVOA,70,104
2025-06-20,GENCHEM,406,1035
2025-06-20,HG,27,49
2025-06-20,MSSEMI,52,331
2025-06-20,MSVOA,190,554
2025-06-20,ORGPREP,0,233
2025-06-20,METALS,1300,2830
2025-06-20,GCSEMI,29,295
2025-06-20,GCVOA,70,104
2025-06-20,GENCHEM,406,1035
2025-06-20,HG,27,49
2025-06-20,MSSEMI,52,331
2025-06-20,MSVOA,190,554
2025-06-20,ORGPREP,0,233
2025-06-20,METALS,1300,2830
2025-06-20,GCSEMI,29,295
2025-06-20,GCVOA,70,104
2025-06-20,GENCHEM,406,1035
2025-06-20,HG,27,49
2025-06-20,MSSEMI,52,331
2025-06-20,MSVOA,190,554
2025-06-20,ORGPREP,0,233
2025-06-20,METALS,1300,2830
2025-06-20,GCSEMI,29,295
2025-06-20,GCVOA,70,104
2025-06-20,GENCHEM,406,1035
2025-06-20,HG,27,49
2025-06-20,MSSEMI,52,331
2025-06-20,MSVOA,190,554
2025-06-20,ORGPREP,0,233
2025-06-20,METALS,1300,2830
2025-06-20,GCSEMI,29,295
2025-06-20,GCVOA,70,104
2025-06-20,GENCHEM,406,1035
2025-06-20,HG,27,49
2025-06-20,MSSEMI,52,331
2025-06-20,MSVOA,190,554
2025-06-20,ORGPREP,0,233
2025-06-20,METALS,1300,2830
2025-06-20,GCSEMI,29,295
2025-06-20,GCVOA,70,104
2025-06-20,GENCHEM,406,1035
2025-06-20,HG,27,49
2025-06-20,MSSEMI,52,331
2025-06-20,MSVOA,190,554
2025-06-20,ORGPREP,0,233
2025-06-20,METALS,1300,2830
2025-06-20,GCSEMI,29,295
2025-06-20,GCVOA,70,104
2025-06-20,GENCHEM,406,1035
2025-06-20,HG,27,49
2025-06-20,MSSEMI,52,331
2025-06-20,MSVOA,190,554
2025-06-20,ORGPREP,0,233
2025-06-20,METALS,1300,2830
2025-06-20,GCSEMI,29,295
2025-06-20,GCVOA,70,104
2025-06-20,GENCHEM,406,1035
2025-06-20,HG,27,49
2025-06-20,MSSEMI,52,331
2025-06-20,MSVOA,190,554
2025-06-20,ORGPREP,0,233
2025-06-20,METALS,1300,2830
2025-06-20,METALS,1300,2830
2025-06-20,GCSEMI,29,295
2025-06-20,GCVOA,70,104
2025-06-20,GENCHEM,406,1035
2025-06-20,HG,27,49
2025-06-20,MSSEMI,52,331
2025-06-20,MSVOA,190,554
2025-06-20,ORGPREP,0,233
2025-06-20,METALS,1300,2830
2025-06-20,GCSEMI,29,295
2025-06-20,GCVOA,70,104
2025-06-20,GENCHEM,406,1035
2025-06-20,HG,27,49
2025-06-20,MSSEMI,52,331
2025-06-20,MSVOA,190,554
2025-06-20,ORGPREP,0,233
2025-06-20,METALS,1300,2830
2025-06-20,GCSEMI,29,295
2025-06-20,GCVOA,70,104
2025-06-20,GENCHEM,406,1035
2025-06-20,HG,27,49
2025-06-20,MSSEMI,52,331
2025-06-20,MSVOA,190,554
2025-06-20,ORGPREP,0,233
2025-06-20,METALS,1300,2830
2025-06-20,GCSEMI,29,295
2025-06-20,GCVOA,70,104
2025-06-20,GENCHEM,406,1035
2025-06-20,HG,27,49
2025-06-20,MSSEMI,52,331
2025-06-20,MSVOA,190,554
2025-06-20,ORGPREP,0,233
2025-06-23,METALS,1254,2825
2025-06-23,GCSEMI,27,238
2025-06-23,GCVOA,71,110
2025-06-23,GENCHEM,332,980
2025-06-23,HG,32,50
2025-06-23,MSSEMI,37,253
2025-06-23,MSVOA,146,531
2025-06-23,ORGPREP,0,142
2025-06-24,METALS,1458,2369
2025-06-24,GCSEMI,28,223
2025-06-24,GCVOA,71,117
2025-06-24,GENCHEM,428,851
2025-06-24,HG,40,50
2025-06-24,MSSEMI,49,229
2025-06-24,MSVOA,166,438
2025-06-24,ORGPREP,0,142
